company_id,group_name,account_name,date,debit_amount,credit
7S4LET,Operations,Employee Benefits,03-01-2023,6811.79,1240.57
7S4LET,Ungrouped,Employee Benefits,09-01-2025,3910.78,
7S4LET,Operations,Room Rent,05-06-2023,6212.59,
7S4LET,HR,Employee Benefits,13-05-2023,7644.62,180.26
7S4LET,Operations,Room Rent,27-04-2023,1311.11,365.21
7S4LET,IT,Room Rent,16-07-2024,3738.82,
7S4LET,Ungrouped,Miscellaneous Expense,09-12-2025,1710.47,486.27
7S4LET,Travel,FX Gain/ Loss,22-10-2024,7156.99,
7S4LET,IT,Bank Service Charges,21-03-2023,4643.07,113.99
7S4LET,HR,Miscellaneous Expense,31-07-2024,4897.8,330.99
7S4LET,IT,FX Gain/ Loss,07-11-2024,9809.86,
7S4LET,HR,Rent,17-04-2023,7862.39,6665.16
7S4LET,Operations,Miscellaneous Expense,14-10-2024,5756.5,2444.68
7S4LET,Travel,Miscellaneous Expense,16-11-2023,3310.09,
7S4LET,Operations,Miscellaneous Income,05-02-2024,2334.73,686.26
7S4LET,Operations,Employee Benefits,25-04-2024,6218.26,1993.38
7S4LET,Operations,Miscellaneous Income,31-10-2023,2386.42,298.37
7S4LET,Operations,Employee Benefits,25-10-2023,4016.92,
7S4LET,Ungrouped,Miscellaneous Expense,25-08-2024,8806.6,
7S4LET,Operations,Rent,11-11-2024,3589.29,2078.56
7S4LET,Operations,FX Gain/ Loss,16-01-2023,6364.57,
7S4LET,Ungrouped,Rent,17-03-2023,5682.48,
7S4LET,Ungrouped,Employee Benefits,19-07-2024,6521.55,5860.08
7S4LET,Travel,FX Gain/ Loss,17-12-2024,7922.84,4246.58
7S4LET,Operations,FX Gain/ Loss,13-01-2025,7166.16,6831.52
7S4LET,HR,Miscellaneous Income,20-02-2025,4783.95,1059.67
7S4LET,Operations,Employee Benefits,16-11-2024,2416.36,500.3
7S4LET,HR,Room Rent,04-10-2025,9346.8,6632.14
7S4LET,IT,Rent,07-05-2025,9173.55,
7S4LET,Ungrouped,Bank Service Charges,18-03-2025,2620.59,
7S4LET,Ungrouped,FX Gain/ Loss,14-04-2023,8998.56,
7S4LET,Operations,FX Gain/ Loss,29-06-2023,8453.55,
7S4LET,Operations,FX Gain/ Loss,13-12-2025,3657.2,
7S4LET,Travel,Bank Service Charges,07-11-2024,4666.93,802.9
7S4LET,Travel,Miscellaneous Income,11-03-2023,1131.64,
7S4LET,Ungrouped,Miscellaneous Expense,17-07-2023,9291.03,117.21
7S4LET,Travel,Rent,07-08-2025,7680.29,
7S4LET,HR,Employee Benefits,17-02-2024,9483.75,
7S4LET,Operations,Bank Service Charges,05-08-2025,9816.72,8902.54
7S4LET,HR,FX Gain/ Loss,05-05-2024,8878.45,7352.12
7S4LET,Operations,Miscellaneous Expense,19-03-2023,1986.86,961.42
7S4LET,Operations,Miscellaneous Expense,27-03-2024,7198.88,6977.48
7S4LET,Operations,FX Gain/ Loss,09-06-2024,6515.76,3593.67
7S4LET,Ungrouped,Room Rent,20-02-2025,6025.83,5845.6
7S4LET,Ungrouped,Room Rent,25-05-2025,5347,4206.76
7S4LET,IT,Miscellaneous Expense,21-02-2024,7549.18,7476.35
7S4LET,HR,Miscellaneous Expense,12-02-2025,1767.38,
7S4LET,Ungrouped,Room Rent,09-12-2024,8707.96,2090.71
7S4LET,HR,Room Rent,04-02-2025,2852.64,2184.5
7S4LET,IT,Bank Service Charges,16-05-2023,2681.6,2680.08
7S4LET,Ungrouped,Miscellaneous Income,02-02-2024,4146.3,
7S4LET,Operations,Rent,14-12-2023,6242.1,
7S4LET,HR,Miscellaneous Income,28-08-2023,1308.74,1235
7S4LET,HR,FX Gain/ Loss,07-05-2024,8713.87,4163.36
7S4LET,HR,Miscellaneous Expense,07-02-2023,7573.39,666.17
7S4LET,Operations,Rent,10-06-2023,5457.19,
7S4LET,Operations,Miscellaneous Income,03-07-2024,6706.42,650.6
7S4LET,Travel,Employee Benefits,10-05-2025,6875.91,3800.5
7S4LET,Operations,Miscellaneous Income,25-07-2024,4983.65,
7S4LET,Operations,Rent,20-10-2024,6900.55,4613.85
7S4LET,Ungrouped,Miscellaneous Expense,12-07-2025,3020.89,1910.87
7S4LET,Operations,FX Gain/ Loss,27-01-2025,2580.53,
7S4LET,HR,Bank Service Charges,12-11-2025,9421.74,9039.99
7S4LET,Ungrouped,Miscellaneous Expense,21-11-2023,8567.63,4650.22
7S4LET,Operations,Miscellaneous Income,12-07-2024,6433.06,
7S4LET,Travel,Miscellaneous Income,09-01-2023,4905.73,1334.41
7S4LET,Operations,Rent,21-08-2025,7343.57,
7S4LET,IT,Miscellaneous Expense,09-11-2025,2701.76,
7S4LET,Ungrouped,Room Rent,10-09-2023,4802.9,
7S4LET,Operations,FX Gain/ Loss,01-06-2025,7623.18,4285.68
7S4LET,Ungrouped,Employee Benefits,19-01-2024,8045.32,
